filmID,genreID
1,1
1,2
1,4
2,5
2,1
2,8
2,6
3,13
4,17
4,3
4,5
4,7
5,1
5,2
6,1
6,11
7,2
7,1
8,1
8,12
9,1
9,5
10,1
11,1
12,10
12,11
12,4
13,6
13,7
14,1
14,10
15,2
15,1
15,6
16,1
16,8
17,1
17,8
18,1
18,8
18,5
19,7
19,1
20,1
20,9
21,1
21,9
22,5
22,1
23,7
23,1
23,15
24,7
24,15
25,3
25,1
26,2
26,1
26,11
27,1
28,1
29,9
29,10
30,1
30,11
30,4
31,5
31,8
32,5
32,1
32,8
33,5
33,8
34,5
34,1
34,8
35,2
35,1
35,4
36,2
36,1
36,4
37,7
37,1
37,14
38,7
38,1
38,14
39,1
39,11
39,4
40,5
40,1
40,8
41,5
41,8
42,2
42,1
42,4
43,1
43,9
44,1
44,2
45,3
45,7
45,6
46,1
46,12
47,5
47,8
48,1
48,8
49,1
49,12
50,5
50,1
51,5
51,1
52,1
52,8
53,1
53,12
54,1
54,18
55,5
55,1
56,1
56,18
57,1
57,18
58,3
58,2
58,6
59,3
59,6
59,4
60,1
60,12
61,7
61,1
61,9
62,5
62,1
63,1
63,9
63,14
64,1
64,9
65,1
65,14
66,1
66,8
66,14
67,9
67,19
68,1
68,14
69,5
69,1
69,8
70,16
70,9
71,5
71,1
72,7
72,1
72,15
73,1
74,1
74,6
74,4
75,1
75,5
75,4