nominationID,editionID,awardID,filmID,personID,isWinner
1,1,1,1,NULL,TRUE
2,2,2,2,NULL,TRUE
3,3,3,3,NULL,TRUE
4,4,4,4,NULL,TRUE
5,4,4,9,NULL,FALSE
6,4,4,10,NULL,FALSE
7,4,4,5,NULL,FALSE
8,4,4,8,NULL,FALSE
9,4,5,4,6,TRUE
10,4,5,4,7,TRUE
11,4,5,10,16,FALSE
12,4,5,17,NULL,FALSE
13,4,6,4,8,TRUE
14,4,6,28,NULL,FALSE
15,4,7,11,19,TRUE
16,4,7,9,NULL,FALSE
17,4,8,4,10,TRUE
18,4,8,4,24,FALSE
19,4,8,9,NULL,FALSE
20,4,9,4,9,TRUE
21,4,9,9,NULL,FALSE
22,4,10,4,6,TRUE
23,4,10,4,7,TRUE
24,4,10,9,NULL,FALSE
25,4,10,10,NULL,FALSE
26,4,11,10,NULL,FALSE
27,4,12,8,NULL,FALSE
28,4,13,4,NULL,TRUE
29,4,13,9,NULL,FALSE
30,4,14,8,NULL,FALSE
31,4,15,4,NULL,FALSE
32,4,16,11,NULL,TRUE
33,5,7,18,29,True
34,5,7,7,84,False
35,5,4,18,NULL,True
35,6,7,5,12,True
36,7,1,7,NULL,True
37,8,2,76,NULL,True
38,8,7,76,85,True